INFO:__main__:episode: 24, state: init state:[[ 1 18 25  0  0  0  0  0  0  0  0  0  0  0]], score: [62.7272727273], loss:[7.17694451683e-05], sequence:[0], random actions:[2568], e:[0.89]
INFO:__main__:episode: 25, state: init state:[[ 1 18 42  0  0  0  0  0  0  0  0  0  0  0]], score: [73.4545454545], loss:[7.46389672393e-05], sequence:[0], random actions:[2550], e:[0.88]
INFO:__main__:episode: 26, state: init state:[[ 1 18 59  0  0  0  0  0  0  0  0  0  0  0]], score: [73.4545454545], loss:[7.79735884047e-05], sequence:[0], random actions:[2551], e:[0.88]
INFO:__main__:episode: 27, state: init state:[[ 1 19 16  0  0  0  0  0  0  0  0  0  0  0]], score: [66.0], loss:[8.16822811263e-05], sequence:[0], random actions:[2521], e:[0.87]
INFO:__main__:episode: 28, state: init state:[[ 1 19 33  0  0  0  0  0  0  0  0  0  0  0]], score: [86.5454545455], loss:[8.47667421214e-05], sequence:[0], random actions:[2526], e:[0.87]
INFO:__main__:episode: 29, state: init state:[[ 1 19 50  0  0  0  0  0  0  0  0  0  0  0]], score: [98.1818181818], loss:[9.3581672234e-05], sequence:[0], random actions:[2525], e:[0.86]
INFO:__main__:episode: 30, state: init state:[[ 1 20  7  0  0  0  0  0  0  0  0  0  0  0]], score: [132.545454545], loss:[0.000104657195695], sequence:[0], random actions:[2484], e:[0.86]
INFO:__main__:episode: 31, state: init state:[[ 1 20 24  0  0  0  0  0  0  0  0  0  0  0]], score: [91.4545454545], loss:[0.000113860351406], sequence:[0], random actions:[2454], e:[0.86]
INFO:__main__:episode: 32, state: init state:[[ 1 20 41  1  1  0  0  0  0  1  1  1  0  0]], score: [78.0], loss:[0.000114800584456], sequence:[0], random actions:[2457], e:[0.85]
INFO:__main__:episode: 33, state: init state:[[ 1 20 58  1  1  0  1  0  0  1  1  0  0  0]], score: [111.454545455], loss:[0.000115197968518], sequence:[0], random actions:[2455], e:[0.85]
INFO:__main__:episode: 34, state: init state:[[ 1 21 15  1  1  0  1  0  0  1  1  0  0  1]], score: [120.545454545], loss:[0.000135248763347], sequence:[0], random actions:[2446], e:[0.84]
INFO:__main__:episode: 35, state: init state:[[ 1 21 32  1  0  0  0  0  0  1  1  0  0  1]], score: [108.181818182], loss:[0.0001505588145], sequence:[0], random actions:[2449], e:[0.84]
INFO:__main__:episode: 36, state: init state:[[ 1 21 49  1  0  0  0  0  0  1  1  0  0  1]], score: [128.727272727], loss:[0.00015812652118], sequence:[0], random actions:[2413], e:[0.83]
INFO:__main__:episode: 37, state: init state:[[ 1 22  6  1  0  0  0  0  0  1  1  0  0  1]], score: [123.454545455], loss:[0.000166976921167], sequence:[0], random actions:[2434], e:[0.83]
