INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=False, sequential=True)]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7fca8a199990>], gamma:[0.95]
INFO:__main__:minGameScore:[250], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 39, state: init state:[[18 46  0]], score: [52], loss:[0.00311192981101], sequence:[0], random actions:[256], e:[0.82]
INFO:__main__:episode: 40, state: init state:[[19  3  1]], score: [48], loss:[0.00473352238468], sequence:[0], random actions:[247], e:[0.82]
INFO:__main__:episode: 41, state: init state:[[19 20  0]], score: [54], loss:[0.472296682694], sequence:[0], random actions:[247], e:[0.81]
INFO:__main__:episode: 42, state: init state:[[19 37  1]], score: [68], loss:[0.441153067122], sequence:[0], random actions:[247], e:[0.81]
INFO:__main__:episode: 43, state: init state:[[19 54  1]], score: [72], loss:[0.0620702297964], sequence:[0], random actions:[233], e:[0.81]
INFO:__main__:episode: 44, state: init state:[[20 11  1]], score: [62], loss:[0.571616231948], sequence:[0], random actions:[232], e:[0.8]
INFO:__main__:episode: 45, state: init state:[[20 28  0]], score: [52], loss:[0.332793489929], sequence:[0], random actions:[238], e:[0.8]
INFO:__main__:episode: 46, state: init state:[[20 45  1]], score: [80], loss:[0.380169988685], sequence:[0], random actions:[239], e:[0.79]
INFO:__main__:episode: 47, state: init state:[[21  2  1]], score: [62], loss:[0.268894874432], sequence:[0], random actions:[243], e:[0.79]
INFO:__main__:episode: 48, state: init state:[[21 19  1]], score: [86], loss:[0.0694915010185], sequence:[0], random actions:[240], e:[0.79]
INFO:__main__:episode: 49, state: init state:[[21 36  1]], score: [62], loss:[0.0228561738259], sequence:[0], random actions:[229], e:[0.78]
INFO:__main__:episode: 50, state: init state:[[21 53  0]], score: [46], loss:[0.125127851752], sequence:[0], random actions:[244], e:[0.78]
INFO:__main__:episode: 51, state: init state:[[22 10  0]], score: [54], loss:[0.00743023884866], sequence:[0], random actions:[240], e:[0.77]
INFO:__main__:episode: 52, state: init state:[[22 27  1]], score: [80], loss:[0.00270913052801], sequence:[0], random actions:[223], e:[0.77]
INFO:__main__:episode: 53, state: init state:[[22 44  0]], score: [62], loss:[0.0222943389554], sequence:[0], random actions:[237], e:[0.77]
