INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=True, sequential=False)]
INFO:__main__:startTime:[06:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f08d38e9990>], gamma:[0.95]
INFO:__main__:minGameScore:[425], minGameSequence:[50], gameMinutesLength:[500], batch_size:[200]
INFO:__main__:episode: 38, state: init state:[[ 0 52  0]], score: [4], loss:[0.666274559933], sequence:[0], random actions:[425], e:[0.83]
INFO:__main__:episode: 39, state: init state:[[ 9 23  1]], score: [84], loss:[0.168414682509], sequence:[0], random actions:[409], e:[0.82]
INFO:__main__:episode: 40, state: init state:[[ 9 57  1]], score: [58], loss:[0.173087767579], sequence:[0], random actions:[419], e:[0.82]
INFO:__main__:episode: 41, state: init state:[[ 5 42  0]], score: [108], loss:[0.17429084442], sequence:[0], random actions:[415], e:[0.81]
INFO:__main__:episode: 42, state: init state:[[ 4 49  0]], score: [34], loss:[0.412659629346], sequence:[0], random actions:[399], e:[0.81]
INFO:__main__:episode: 43, state: init state:[[20 54  0]], score: [-70], loss:[0.509773446781], sequence:[0], random actions:[390], e:[0.81]
INFO:__main__:episode: 44, state: init state:[[19 21  0]], score: [66], loss:[0.144652033166], sequence:[0], random actions:[392], e:[0.8]
INFO:__main__:episode: 45, state: init state:[[13 36  1]], score: [26], loss:[0.782506227591], sequence:[0], random actions:[405], e:[0.8]
INFO:__main__:episode: 46, state: init state:[[11 51  1]], score: [-28], loss:[0.438321249678], sequence:[0], random actions:[396], e:[0.79]
INFO:__main__:episode: 47, state: init state:[[13  9  1]], score: [20], loss:[0.386093174515], sequence:[0], random actions:[408], e:[0.79]
INFO:__main__:episode: 48, state: init state:[[4 4 0]], score: [30], loss:[0.411856204403], sequence:[0], random actions:[404], e:[0.79]
INFO:__main__:episode: 49, state: init state:[[8 7 1]], score: [122], loss:[0.216594949462], sequence:[0], random actions:[390], e:[0.78]
INFO:__main__:episode: 50, state: init state:[[20 35  0]], score: [-124], loss:[0.827816217705], sequence:[0], random actions:[396], e:[0.78]
INFO:__main__:episode: 51, state: init state:[[17 45  1]], score: [116], loss:[0.157648565723], sequence:[0], random actions:[375], e:[0.77]
INFO:__main__:episode: 52, state: init state:[[ 3 58  0]], score: [-42], loss:[0.556910129694], sequence:[0], random actions:[392], e:[0.77]
INFO:__main__:episode: 53, state: init state:[[21 24  0]], score: [-120], loss:[0.305942888974], sequence:[0], random actions:[372], e:[0.77]
INFO:__main__:episode: 54, state: init state:[[19 48  0]], score: [146], loss:[0.0622622997287], sequence:[0], random actions:[365], e:[0.76]
INFO:__main__:episode: 55, state: init state:[[5 3 0]], score: [-102], loss:[0.567533827851], sequence:[0], random actions:[381], e:[0.76]
INFO:__main__:episode: 56, state: init state:[[23 20  0]], score: [-90], loss:[0.536466103066], sequence:[0], random actions:[397], e:[0.76]
INFO:__main__:episode: 57, state: init state:[[ 7 46  1]], score: [-116], loss:[0.345309746456], sequence:[0], random actions:[369], e:[0.75]
INFO:__main__:episode: 58, state: init state:[[20  0  0]], score: [-136], loss:[0.421036914947], sequence:[0], random actions:[372], e:[0.75]
INFO:__main__:episode: 59, state: init state:[[ 5 56  0]], score: [-70], loss:[0.495477499553], sequence:[0], random actions:[368], e:[0.74]
INFO:__main__:episode: 60, state: init state:[[20 48  0]], score: [-62], loss:[0.39487605816], sequence:[0], random actions:[378], e:[0.74]
INFO:__main__:episode: 61, state: init state:[[ 4 16  0]], score: [-66], loss:[0.450005148656], sequence:[0], random actions:[376], e:[0.74]
INFO:__main__:episode: 62, state: init state:[[12 49  1]], score: [18], loss:[0.377493405164], sequence:[0], random actions:[372], e:[0.73]
INFO:__main__:episode: 63, state: init state:[[20  1  0]], score: [44], loss:[1.51845355913], sequence:[0], random actions:[390], e:[0.73]
INFO:__main__:episode: 64, state: init state:[[23 59  0]], score: [72], loss:[0.631628608836], sequence:[0], random actions:[364], e:[0.73]
INFO:__main__:episode: 65, state: init state:[[10 33  1]], score: [-18], loss:[0.547772244553], sequence:[0], random actions:[360], e:[0.72]
INFO:__main__:episode: 66, state: init state:[[16 22  1]], score: [54], loss:[0.563133822384], sequence:[0], random actions:[358], e:[0.72]
INFO:__main__:episode: 67, state: init state:[[ 6 54  1]], score: [-28], loss:[0.229155277288], sequence:[0], random actions:[372], e:[0.71]
INFO:__main__:episode: 68, state: init state:[[2 7 0]], score: [36], loss:[0.390769761226], sequence:[0], random actions:[368], e:[0.71]
INFO:__main__:episode: 69, state: init state:[[ 1 59  0]], score: [48], loss:[0.461077313349], sequence:[0], random actions:[374], e:[0.71]
INFO:__main__:episode: 70, state: init state:[[16 27  1]], score: [-4], loss:[0.455866107944], sequence:[0], random actions:[347], e:[0.7]
INFO:__main__:episode: 71, state: init state:[[14 58  1]], score: [68], loss:[0.524347120182], sequence:[0], random actions:[351], e:[0.7]
INFO:__main__:episode: 72, state: init state:[[12 34  1]], score: [132], loss:[0.487486014742], sequence:[0], random actions:[332], e:[0.7]
INFO:__main__:episode: 73, state: init state:[[ 9 51  1]], score: [156], loss:[0.314645003996], sequence:[0], random actions:[346], e:[0.69]
INFO:__main__:episode: 74, state: init state:[[4 8 0]], score: [108], loss:[0.409259148925], sequence:[0], random actions:[345], e:[0.69]
INFO:__main__:episode: 75, state: init state:[[11 20  1]], score: [152], loss:[0.281841314086], sequence:[0], random actions:[361], e:[0.69]
INFO:__main__:episode: 76, state: init state:[[12 54  1]], score: [76], loss:[0.447701307241], sequence:[0], random actions:[353], e:[0.68]
INFO:__main__:episode: 77, state: init state:[[19 22  0]], score: [128], loss:[0.392799275464], sequence:[0], random actions:[354], e:[0.68]
INFO:__main__:episode: 78, state: init state:[[22 25  0]], score: [124], loss:[0.359422095843], sequence:[0], random actions:[342], e:[0.68]
INFO:__main__:episode: 79, state: init state:[[19 46  0]], score: [164], loss:[0.135588939264], sequence:[0], random actions:[338], e:[0.67]
INFO:__main__:episode: 80, state: init state:[[ 4 22  0]], score: [46], loss:[0.270973394701], sequence:[0], random actions:[346], e:[0.67]
INFO:__main__:episode: 81, state: init state:[[ 4 25  0]], score: [112], loss:[0.32048815933], sequence:[0], random actions:[353], e:[0.67]
INFO:__main__:episode: 82, state: init state:[[15 20  1]], score: [110], loss:[0.415728481649], sequence:[0], random actions:[340], e:[0.66]
INFO:__main__:episode: 83, state: init state:[[14 43  1]], score: [122], loss:[0.608704205883], sequence:[0], random actions:[325], e:[0.66]
INFO:__main__:episode: 84, state: init state:[[10 52  1]], score: [98], loss:[0.312566435491], sequence:[0], random actions:[329], e:[0.66]
INFO:__main__:episode: 85, state: init state:[[13 49  1]], score: [172], loss:[0.46093311642], sequence:[0], random actions:[315], e:[0.65]
INFO:__main__:episode: 86, state: init state:[[19 23  0]], score: [166], loss:[0.086582421749], sequence:[0], random actions:[322], e:[0.65]
INFO:__main__:episode: 87, state: init state:[[ 4 51  0]], score: [90], loss:[0.208183630052], sequence:[0], random actions:[330], e:[0.65]
INFO:__main__:episode: 88, state: init state:[[ 6 41  1]], score: [166], loss:[0.128086426198], sequence:[0], random actions:[334], e:[0.64]
INFO:__main__:episode: 89, state: init state:[[14 20  1]], score: [116], loss:[0.308854695606], sequence:[0], random actions:[328], e:[0.64]
INFO:__main__:episode: 90, state: init state:[[21  5  0]], score: [160], loss:[0.188005684673], sequence:[0], random actions:[334], e:[0.64]
INFO:__main__:episode: 91, state: init state:[[16  5  1]], score: [150], loss:[0.318319865229], sequence:[0], random actions:[308], e:[0.63]
INFO:__main__:episode: 92, state: init state:[[ 0 16  0]], score: [166], loss:[0.221783917969], sequence:[0], random actions:[302], e:[0.63]
INFO:__main__:episode: 93, state: init state:[[ 9 31  1]], score: [124], loss:[0.318281492707], sequence:[0], random actions:[312], e:[0.63]
INFO:__main__:episode: 94, state: init state:[[14  5  1]], score: [126], loss:[0.327649258766], sequence:[0], random actions:[326], e:[0.62]
INFO:__main__:episode: 95, state: init state:[[14 24  1]], score: [188], loss:[0.246092469019], sequence:[0], random actions:[293], e:[0.62]
INFO:__main__:episode: 96, state: init state:[[20 13  0]], score: [102], loss:[0.397735399552], sequence:[0], random actions:[303], e:[0.62]
INFO:__main__:episode: 97, state: init state:[[ 3 46  0]], score: [130], loss:[0.311147962406], sequence:[0], random actions:[321], e:[0.61]
INFO:__main__:episode: 98, state: init state:[[21 19  0]], score: [150], loss:[0.146617177965], sequence:[0], random actions:[328], e:[0.61]
INFO:__main__:episode: 99, state: init state:[[13 41  1]], score: [82], loss:[0.488820995721], sequence:[0], random actions:[314], e:[0.61]
INFO:__main__:episode: 100, state: init state:[[19 42  0]], score: [190], loss:[0.167163455662], sequence:[0], random actions:[294], e:[0.61]
INFO:__main__:episode: 101, state: init state:[[15 34  1]], score: [142], loss:[0.35580344948], sequence:[0], random actions:[293], e:[0.6]
INFO:__main__:episode: 102, state: init state:[[11 51  1]], score: [174], loss:[0.25034474936], sequence:[0], random actions:[306], e:[0.6]
INFO:__main__:episode: 103, state: init state:[[11 24  1]], score: [178], loss:[0.281546638357], sequence:[0], random actions:[285], e:[0.6]
INFO:__main__:episode: 104, state: init state:[[23 19  0]], score: [166], loss:[0.379198507005], sequence:[0], random actions:[285], e:[0.59]
INFO:__main__:episode: 105, state: init state:[[17 19  1]], score: [130], loss:[0.296294348815], sequence:[0], random actions:[322], e:[0.59]
INFO:__main__:episode: 106, state: init state:[[ 9 47  1]], score: [80], loss:[0.165817277311], sequence:[0], random actions:[296], e:[0.59]
INFO:__main__:episode: 107, state: init state:[[8 0 1]], score: [210], loss:[0.0560545742194], sequence:[0], random actions:[285], e:[0.58]
INFO:__main__:episode: 108, state: init state:[[21 47  0]], score: [132], loss:[0.201281049041], sequence:[0], random actions:[311], e:[0.58]
INFO:__main__:episode: 109, state: init state:[[14  2  1]], score: [96], loss:[0.26095544351], sequence:[0], random actions:[294], e:[0.58]
INFO:__main__:episode: 110, state: init state:[[11 17  1]], score: [168], loss:[0.305271807192], sequence:[0], random actions:[298], e:[0.58]
INFO:__main__:episode: 111, state: init state:[[16 37  1]], score: [190], loss:[0.272716835115], sequence:[0], random actions:[279], e:[0.57]
INFO:__main__:episode: 112, state: init state:[[13 50  1]], score: [148], loss:[0.227102776365], sequence:[0], random actions:[268], e:[0.57]
INFO:__main__:episode: 113, state: init state:[[ 6 11  1]], score: [254], loss:[0.261698574893], sequence:[0], random actions:[257], e:[0.57]
INFO:__main__:episode: 114, state: init state:[[ 5 29  0]], score: [182], loss:[0.417947442015], sequence:[0], random actions:[269], e:[0.56]
INFO:__main__:episode: 115, state: init state:[[ 4 20  0]], score: [136], loss:[0.497869392379], sequence:[0], random actions:[285], e:[0.56]
INFO:__main__:episode: 116, state: init state:[[6 0 1]], score: [184], loss:[0.159009273851], sequence:[0], random actions:[292], e:[0.56]
INFO:__main__:episode: 117, state: init state:[[ 3 41  0]], score: [220], loss:[0.256195544647], sequence:[0], random actions:[261], e:[0.56]
INFO:__main__:episode: 118, state: init state:[[ 8 58  1]], score: [138], loss:[0.222213328992], sequence:[0], random actions:[287], e:[0.55]
INFO:__main__:episode: 119, state: init state:[[ 7 24  1]], score: [222], loss:[0.156331895251], sequence:[0], random actions:[267], e:[0.55]
INFO:__main__:episode: 120, state: init state:[[ 4 17  0]], score: [184], loss:[0.193162838909], sequence:[0], random actions:[287], e:[0.55]
INFO:__main__:episode: 121, state: init state:[[ 3 50  0]], score: [214], loss:[0.188308744151], sequence:[0], random actions:[262], e:[0.55]
INFO:__main__:episode: 122, state: init state:[[ 1 33  0]], score: [208], loss:[0.253891544591], sequence:[0], random actions:[276], e:[0.54]
INFO:__main__:episode: 123, state: init state:[[17  0  1]], score: [130], loss:[0.360309116205], sequence:[0], random actions:[263], e:[0.54]
INFO:__main__:episode: 124, state: init state:[[ 4 33  0]], score: [190], loss:[0.19078469962], sequence:[0], random actions:[275], e:[0.54]
INFO:__main__:episode: 125, state: init state:[[ 4 13  0]], score: [236], loss:[0.112738890598], sequence:[0], random actions:[275], e:[0.53]
INFO:__main__:episode: 126, state: init state:[[23  9  0]], score: [236], loss:[0.219181068472], sequence:[0], random actions:[268], e:[0.53]
INFO:__main__:episode: 127, state: init state:[[18 38  0]], score: [186], loss:[0.282252275216], sequence:[0], random actions:[253], e:[0.53]
INFO:__main__:episode: 128, state: init state:[[13 57  1]], score: [50], loss:[0.34581415619], sequence:[0], random actions:[269], e:[0.53]
INFO:__main__:episode: 129, state: init state:[[ 6 32  1]], score: [214], loss:[0.605904717902], sequence:[0], random actions:[274], e:[0.52]
INFO:__main__:episode: 130, state: init state:[[14 11  1]], score: [178], loss:[0.344433656396], sequence:[0], random actions:[264], e:[0.52]
INFO:__main__:episode: 131, state: init state:[[ 4 47  0]], score: [180], loss:[0.545513515939], sequence:[0], random actions:[241], e:[0.52]
INFO:__main__:episode: 132, state: init state:[[16 12  1]], score: [132], loss:[0.49012653372], sequence:[0], random actions:[243], e:[0.52]
INFO:__main__:episode: 133, state: init state:[[10  4  1]], score: [150], loss:[0.274167481733], sequence:[0], random actions:[242], e:[0.51]
INFO:__main__:episode: 134, state: init state:[[ 3 12  0]], score: [220], loss:[0.212545989586], sequence:[0], random actions:[272], e:[0.51]
INFO:__main__:episode: 135, state: init state:[[ 8 40  1]], score: [240], loss:[0.0719689391256], sequence:[0], random actions:[254], e:[0.51]
INFO:__main__:episode: 136, state: init state:[[11 15  1]], score: [188], loss:[0.241522966277], sequence:[0], random actions:[247], e:[0.51]
INFO:__main__:episode: 137, state: init state:[[17 57  1]], score: [200], loss:[0.385698070042], sequence:[0], random actions:[254], e:[0.5]
INFO:__main__:episode: 138, state: init state:[[15 45  1]], score: [116], loss:[0.535072176207], sequence:[0], random actions:[257], e:[0.5]
INFO:__main__:episode: 139, state: init state:[[16 14  1]], score: [138], loss:[0.318808308431], sequence:[0], random actions:[271], e:[0.5]
INFO:__main__:episode: 140, state: init state:[[14  7  1]], score: [210], loss:[1.00980670268], sequence:[0], random actions:[257], e:[0.5]
INFO:__main__:episode: 141, state: init state:[[18 49  0]], score: [252], loss:[0.14779902854], sequence:[0], random actions:[224], e:[0.49]
INFO:__main__:episode: 142, state: init state:[[22 46  0]], score: [246], loss:[0.2659972629], sequence:[0], random actions:[253], e:[0.49]
INFO:__main__:episode: 143, state: init state:[[11 36  1]], score: [200], loss:[0.345117352483], sequence:[0], random actions:[257], e:[0.49]
INFO:__main__:episode: 144, state: init state:[[18  5  0]], score: [158], loss:[0.129554187414], sequence:[0], random actions:[250], e:[0.49]
INFO:__main__:episode: 145, state: init state:[[ 7 16  1]], score: [286], loss:[0.0730441614654], sequence:[0], random actions:[239], e:[0.48]
INFO:__main__:episode: 146, state: init state:[[23 11  0]], score: [166], loss:[0.273545346758], sequence:[0], random actions:[223], e:[0.48]
INFO:__main__:episode: 147, state: init state:[[9 3 1]], score: [176], loss:[0.227977782396], sequence:[0], random actions:[227], e:[0.48]
INFO:__main__:episode: 148, state: init state:[[10 57  1]], score: [218], loss:[0.283870815736], sequence:[0], random actions:[243], e:[0.48]
INFO:__main__:episode: 149, state: init state:[[14 26  1]], score: [188], loss:[0.247651522797], sequence:[0], random actions:[254], e:[0.47]
INFO:__main__:episode: 150, state: init state:[[ 4 36  0]], score: [240], loss:[0.28055919492], sequence:[0], random actions:[214], e:[0.47]
INFO:__main__:episode: 151, state: init state:[[20  7  0]], score: [280], loss:[0.236715562762], sequence:[0], random actions:[226], e:[0.47]
INFO:__main__:episode: 152, state: init state:[[16 20  1]], score: [218], loss:[0.286284523446], sequence:[0], random actions:[239], e:[0.47]
INFO:__main__:episode: 153, state: init state:[[ 9 50  1]], score: [232], loss:[0.295898698289], sequence:[0], random actions:[225], e:[0.46]
INFO:__main__:episode: 154, state: init state:[[15 32  1]], score: [176], loss:[0.380696844154], sequence:[0], random actions:[226], e:[0.46]
INFO:__main__:episode: 155, state: init state:[[14 50  1]], score: [226], loss:[0.420065497406], sequence:[0], random actions:[242], e:[0.46]
INFO:__main__:episode: 156, state: init state:[[ 1 33  0]], score: [254], loss:[0.248020553217], sequence:[0], random actions:[234], e:[0.46]
INFO:__main__:episode: 157, state: init state:[[18 19  0]], score: [260], loss:[0.204727113311], sequence:[0], random actions:[228], e:[0.46]
INFO:__main__:episode: 158, state: init state:[[ 9 58  1]], score: [168], loss:[0.146861544868], sequence:[0], random actions:[216], e:[0.45]
INFO:__main__:episode: 159, state: init state:[[ 3 59  0]], score: [222], loss:[0.308841595466], sequence:[0], random actions:[216], e:[0.45]
INFO:__main__:episode: 160, state: init state:[[22 29  0]], score: [262], loss:[0.231281730694], sequence:[0], random actions:[228], e:[0.45]
INFO:__main__:episode: 161, state: init state:[[ 1 15  0]], score: [242], loss:[0.323924047193], sequence:[0], random actions:[236], e:[0.45]
INFO:__main__:episode: 162, state: init state:[[16 57  1]], score: [164], loss:[0.549083492304], sequence:[0], random actions:[224], e:[0.44]
INFO:__main__:episode: 163, state: init state:[[21 39  0]], score: [232], loss:[0.21803773369], sequence:[0], random actions:[215], e:[0.44]
INFO:__main__:episode: 164, state: init state:[[15 54  1]], score: [190], loss:[0.439863391878], sequence:[0], random actions:[231], e:[0.44]
INFO:__main__:episode: 165, state: init state:[[20 34  0]], score: [300], loss:[0.0337861973856], sequence:[0], random actions:[211], e:[0.44]
INFO:__main__:episode: 166, state: init state:[[ 1 51  0]], score: [178], loss:[0.36809890586], sequence:[0], random actions:[239], e:[0.44]
INFO:__main__:episode: 167, state: init state:[[9 8 1]], score: [156], loss:[0.325008316973], sequence:[0], random actions:[221], e:[0.43]
INFO:__main__:episode: 168, state: init state:[[ 5 22  0]], score: [242], loss:[0.170841183343], sequence:[0], random actions:[223], e:[0.43]
INFO:__main__:episode: 169, state: init state:[[11 16  1]], score: [186], loss:[0.263547434064], sequence:[0], random actions:[208], e:[0.43]
INFO:__main__:episode: 170, state: init state:[[19 12  0]], score: [212], loss:[0.123175886928], sequence:[0], random actions:[228], e:[0.43]
INFO:__main__:episode: 171, state: init state:[[ 6 21  1]], score: [278], loss:[0.0433166661716], sequence:[0], random actions:[216], e:[0.42]
INFO:__main__:episode: 172, state: init state:[[18 23  0]], score: [262], loss:[0.0638538864655], sequence:[0], random actions:[210], e:[0.42]
INFO:__main__:episode: 173, state: init state:[[18  0  1]], score: [254], loss:[0.172227503855], sequence:[0], random actions:[206], e:[0.42]
INFO:__main__:episode: 174, state: init state:[[ 5 56  0]], score: [274], loss:[0.0640714994399], sequence:[0], random actions:[219], e:[0.42]
INFO:__main__:episode: 175, state: init state:[[13 45  1]], score: [152], loss:[0.498284352541], sequence:[0], random actions:[227], e:[0.42]
INFO:__main__:episode: 176, state: init state:[[20 35  0]], score: [276], loss:[0.184810995991], sequence:[0], random actions:[219], e:[0.41]
INFO:__main__:episode: 177, state: init state:[[ 8 36  1]], score: [304], loss:[0.0532771742479], sequence:[0], random actions:[199], e:[0.41]
INFO:__main__:episode: 178, state: init state:[[17 45  1]], score: [168], loss:[0.275343519631], sequence:[0], random actions:[204], e:[0.41]
INFO:__main__:episode: 179, state: init state:[[10 12  1]], score: [254], loss:[0.766801068621], sequence:[0], random actions:[227], e:[0.41]
INFO:__main__:episode: 180, state: init state:[[ 5 41  0]], score: [110], loss:[0.528588703904], sequence:[0], random actions:[165], e:[0.41]
INFO:__main__:episode: 181, state: init state:[[13 11  1]], score: [52], loss:[0.388044958758], sequence:[0], random actions:[202], e:[0.4]
INFO:__main__:episode: 182, state: init state:[[22 22  0]], score: [250], loss:[0.447515334224], sequence:[0], random actions:[209], e:[0.4]
INFO:__main__:episode: 183, state: init state:[[14 47  1]], score: [150], loss:[1.20328190294], sequence:[0], random actions:[205], e:[0.4]
INFO:__main__:episode: 184, state: init state:[[13 47  1]], score: [190], loss:[0.375580927261], sequence:[0], random actions:[214], e:[0.4]
INFO:__main__:episode: 185, state: init state:[[ 8 50  1]], score: [258], loss:[0.143231339674], sequence:[0], random actions:[214], e:[0.4]
INFO:__main__:episode: 186, state: init state:[[17 30  1]], score: [240], loss:[0.266006927221], sequence:[0], random actions:[185], e:[0.39]
INFO:__main__:episode: 187, state: init state:[[19 59  0]], score: [282], loss:[0.375305730049], sequence:[0], random actions:[201], e:[0.39]
INFO:__main__:episode: 188, state: init state:[[ 4 52  0]], score: [236], loss:[0.443591347273], sequence:[0], random actions:[188], e:[0.39]
