INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=False, sequential=True)]
INFO:__main__:startTime:[06:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f831d169990>], gamma:[0.95]
INFO:__main__:minGameScore:[425], minGameSequence:[50], gameMinutesLength:[500], batch_size:[200]
INFO:__main__:episode: 38, state: init state:[[18 29  0]], score: [66], loss:[0.0245223132064], sequence:[0], random actions:[425], e:[0.83]
INFO:__main__:episode: 39, state: init state:[[18 46  1]], score: [68], loss:[0.0718433755396], sequence:[0], random actions:[432], e:[0.82]
INFO:__main__:episode: 40, state: init state:[[19  3  1]], score: [98], loss:[0.0554520445086], sequence:[0], random actions:[419], e:[0.82]
INFO:__main__:episode: 41, state: init state:[[19 20  1]], score: [80], loss:[0.0195170352803], sequence:[0], random actions:[407], e:[0.81]
INFO:__main__:episode: 42, state: init state:[[19 37  0]], score: [108], loss:[0.0257761305185], sequence:[0], random actions:[408], e:[0.81]
INFO:__main__:episode: 43, state: init state:[[19 54  1]], score: [108], loss:[0.0395940698422], sequence:[0], random actions:[416], e:[0.81]
INFO:__main__:episode: 44, state: init state:[[20 11  1]], score: [84], loss:[0.013497410675], sequence:[0], random actions:[397], e:[0.8]
INFO:__main__:episode: 45, state: init state:[[20 28  1]], score: [146], loss:[0.0216577228206], sequence:[0], random actions:[386], e:[0.8]
INFO:__main__:episode: 46, state: init state:[[20 45  1]], score: [84], loss:[0.0184098884798], sequence:[0], random actions:[401], e:[0.79]
INFO:__main__:episode: 47, state: init state:[[21  2  1]], score: [114], loss:[0.00861936833257], sequence:[0], random actions:[395], e:[0.79]
INFO:__main__:episode: 48, state: init state:[[21 19  0]], score: [122], loss:[0.00470395605622], sequence:[0], random actions:[408], e:[0.79]
INFO:__main__:episode: 49, state: init state:[[21 36  1]], score: [88], loss:[0.0058459276956], sequence:[0], random actions:[390], e:[0.78]
INFO:__main__:episode: 50, state: init state:[[21 53  0]], score: [110], loss:[0.263805804915], sequence:[0], random actions:[402], e:[0.78]
INFO:__main__:episode: 51, state: init state:[[22 10  0]], score: [106], loss:[0.373462568217], sequence:[0], random actions:[387], e:[0.77]
INFO:__main__:episode: 52, state: init state:[[22 27  0]], score: [62], loss:[0.247504916136], sequence:[0], random actions:[402], e:[0.77]
INFO:__main__:episode: 53, state: init state:[[22 44  1]], score: [52], loss:[0.227088196018], sequence:[0], random actions:[389], e:[0.77]
INFO:__main__:episode: 54, state: init state:[[23  1  0]], score: [110], loss:[0.381023450817], sequence:[0], random actions:[369], e:[0.76]
INFO:__main__:episode: 55, state: init state:[[23 18  0]], score: [94], loss:[0.392816228532], sequence:[0], random actions:[384], e:[0.76]
INFO:__main__:episode: 56, state: init state:[[23 35  0]], score: [98], loss:[0.485366897239], sequence:[0], random actions:[366], e:[0.76]
INFO:__main__:episode: 57, state: init state:[[23 52  0]], score: [-24], loss:[0.591854132484], sequence:[0], random actions:[380], e:[0.75]
INFO:__main__:episode: 58, state: init state:[[0 9 1]], score: [50], loss:[0.74873145681], sequence:[0], random actions:[373], e:[0.75]
INFO:__main__:episode: 59, state: init state:[[ 0 26  0]], score: [42], loss:[0.661575796063], sequence:[0], random actions:[378], e:[0.74]
INFO:__main__:episode: 60, state: init state:[[ 0 43  0]], score: [66], loss:[0.745095652551], sequence:[0], random actions:[357], e:[0.74]
INFO:__main__:episode: 61, state: init state:[[1 0 0]], score: [48], loss:[0.606737674081], sequence:[0], random actions:[354], e:[0.74]
INFO:__main__:episode: 62, state: init state:[[ 1 17  1]], score: [60], loss:[0.70389774226], sequence:[0], random actions:[360], e:[0.73]
INFO:__main__:episode: 63, state: init state:[[ 1 34  0]], score: [54], loss:[0.488181848665], sequence:[0], random actions:[379], e:[0.73]
INFO:__main__:episode: 64, state: init state:[[ 1 51  0]], score: [78], loss:[0.584900150325], sequence:[0], random actions:[358], e:[0.73]
INFO:__main__:episode: 65, state: init state:[[2 8 0]], score: [62], loss:[0.524729429476], sequence:[0], random actions:[380], e:[0.72]
INFO:__main__:episode: 66, state: init state:[[ 2 25  1]], score: [108], loss:[0.426407095307], sequence:[0], random actions:[349], e:[0.72]
INFO:__main__:episode: 67, state: init state:[[ 2 42  0]], score: [114], loss:[0.403928391963], sequence:[0], random actions:[346], e:[0.71]
INFO:__main__:episode: 68, state: init state:[[ 2 59  1]], score: [106], loss:[0.358363978012], sequence:[0], random actions:[357], e:[0.71]
INFO:__main__:episode: 69, state: init state:[[ 3 16  0]], score: [148], loss:[0.316072675249], sequence:[0], random actions:[350], e:[0.71]
INFO:__main__:episode: 70, state: init state:[[ 3 33  1]], score: [166], loss:[0.238641953712], sequence:[0], random actions:[346], e:[0.7]
INFO:__main__:episode: 71, state: init state:[[ 3 50  1]], score: [98], loss:[0.302448481228], sequence:[0], random actions:[351], e:[0.7]
INFO:__main__:episode: 72, state: init state:[[4 7 1]], score: [94], loss:[0.190304799833], sequence:[0], random actions:[354], e:[0.7]
INFO:__main__:episode: 73, state: init state:[[ 4 24  1]], score: [108], loss:[0.26516504319], sequence:[0], random actions:[352], e:[0.69]
INFO:__main__:episode: 74, state: init state:[[ 4 41  0]], score: [126], loss:[0.233109686761], sequence:[0], random actions:[357], e:[0.69]
INFO:__main__:episode: 75, state: init state:[[ 4 58  1]], score: [156], loss:[0.0681340732255], sequence:[0], random actions:[341], e:[0.69]
INFO:__main__:episode: 76, state: init state:[[ 5 15  1]], score: [142], loss:[0.111384108367], sequence:[0], random actions:[331], e:[0.68]
INFO:__main__:episode: 77, state: init state:[[ 5 32  0]], score: [202], loss:[0.0379926373244], sequence:[0], random actions:[330], e:[0.68]
INFO:__main__:episode: 78, state: init state:[[ 5 49  0]], score: [196], loss:[0.069414234631], sequence:[0], random actions:[329], e:[0.68]
INFO:__main__:episode: 79, state: init state:[[6 6 0]], score: [166], loss:[0.0121319371172], sequence:[0], random actions:[326], e:[0.67]
INFO:__main__:episode: 80, state: init state:[[ 6 23  0]], score: [160], loss:[0.00648161287173], sequence:[0], random actions:[344], e:[0.67]
INFO:__main__:episode: 81, state: init state:[[ 6 40  1]], score: [136], loss:[0.0115098276442], sequence:[0], random actions:[339], e:[0.67]
INFO:__main__:episode: 82, state: init state:[[ 6 57  0]], score: [148], loss:[0.00915479725187], sequence:[0], random actions:[334], e:[0.66]
INFO:__main__:episode: 83, state: init state:[[ 7 14  0]], score: [170], loss:[0.00849990942209], sequence:[0], random actions:[338], e:[0.66]
INFO:__main__:episode: 84, state: init state:[[ 7 31  0]], score: [178], loss:[0.012951803049], sequence:[0], random actions:[322], e:[0.66]
INFO:__main__:episode: 85, state: init state:[[ 7 48  0]], score: [164], loss:[0.019252371002], sequence:[0], random actions:[326], e:[0.65]
INFO:__main__:episode: 86, state: init state:[[8 5 1]], score: [180], loss:[0.0291932176922], sequence:[0], random actions:[321], e:[0.65]
INFO:__main__:episode: 87, state: init state:[[ 8 22  0]], score: [208], loss:[0.0139187279208], sequence:[0], random actions:[316], e:[0.65]
INFO:__main__:episode: 88, state: init state:[[ 8 39  0]], score: [186], loss:[0.0207275593766], sequence:[0], random actions:[323], e:[0.64]
INFO:__main__:episode: 89, state: init state:[[ 8 56  1]], score: [172], loss:[0.0203869925001], sequence:[0], random actions:[324], e:[0.64]
INFO:__main__:episode: 90, state: init state:[[ 9 13  1]], score: [168], loss:[0.040172296242], sequence:[0], random actions:[332], e:[0.64]
INFO:__main__:episode: 91, state: init state:[[ 9 30  0]], score: [168], loss:[0.0172252451737], sequence:[0], random actions:[314], e:[0.63]
INFO:__main__:episode: 92, state: init state:[[ 9 47  0]], score: [176], loss:[0.0778607869179], sequence:[0], random actions:[308], e:[0.63]
INFO:__main__:episode: 93, state: init state:[[10  4  1]], score: [170], loss:[0.130899132564], sequence:[0], random actions:[307], e:[0.63]
INFO:__main__:episode: 94, state: init state:[[10 21  0]], score: [156], loss:[0.403721072459], sequence:[0], random actions:[321], e:[0.62]
INFO:__main__:episode: 95, state: init state:[[10 38  1]], score: [178], loss:[0.325514672256], sequence:[0], random actions:[302], e:[0.62]
INFO:__main__:episode: 96, state: init state:[[10 55  0]], score: [96], loss:[0.332620530684], sequence:[0], random actions:[319], e:[0.62]
INFO:__main__:episode: 97, state: init state:[[11 12  1]], score: [122], loss:[0.466868492145], sequence:[0], random actions:[317], e:[0.61]
INFO:__main__:episode: 98, state: init state:[[11 29  0]], score: [104], loss:[0.351384163646], sequence:[0], random actions:[314], e:[0.61]
INFO:__main__:episode: 99, state: init state:[[11 46  1]], score: [156], loss:[0.455265830034], sequence:[0], random actions:[303], e:[0.61]
INFO:__main__:episode: 100, state: init state:[[12  3  0]], score: [88], loss:[0.506410957488], sequence:[0], random actions:[316], e:[0.61]
INFO:__main__:episode: 101, state: init state:[[12 20  0]], score: [106], loss:[0.49317878055], sequence:[0], random actions:[300], e:[0.6]
INFO:__main__:episode: 102, state: init state:[[12 37  0]], score: [44], loss:[0.386814521195], sequence:[0], random actions:[301], e:[0.6]
INFO:__main__:episode: 103, state: init state:[[12 54  1]], score: [86], loss:[0.704163499194], sequence:[0], random actions:[303], e:[0.6]
INFO:__main__:episode: 104, state: init state:[[13 11  1]], score: [-10], loss:[0.3842533863], sequence:[0], random actions:[281], e:[0.59]
INFO:__main__:episode: 105, state: init state:[[13 28  0]], score: [138], loss:[0.38927532011], sequence:[0], random actions:[291], e:[0.59]
INFO:__main__:episode: 106, state: init state:[[13 45  1]], score: [196], loss:[0.295273473868], sequence:[0], random actions:[275], e:[0.59]
INFO:__main__:episode: 107, state: init state:[[14  2  1]], score: [158], loss:[0.264494316787], sequence:[0], random actions:[309], e:[0.58]
INFO:__main__:episode: 108, state: init state:[[14 19  0]], score: [162], loss:[0.256710033415], sequence:[0], random actions:[303], e:[0.58]
INFO:__main__:episode: 109, state: init state:[[14 36  0]], score: [90], loss:[0.272070553656], sequence:[0], random actions:[299], e:[0.58]
INFO:__main__:episode: 110, state: init state:[[14 53  0]], score: [196], loss:[0.251248667608], sequence:[0], random actions:[279], e:[0.58]
INFO:__main__:episode: 111, state: init state:[[15 10  0]], score: [180], loss:[0.242248580772], sequence:[0], random actions:[288], e:[0.57]
INFO:__main__:episode: 112, state: init state:[[15 27  0]], score: [178], loss:[0.229127201222], sequence:[0], random actions:[290], e:[0.57]
INFO:__main__:episode: 113, state: init state:[[15 44  1]], score: [106], loss:[0.228287438454], sequence:[0], random actions:[303], e:[0.57]
INFO:__main__:episode: 114, state: init state:[[16  1  1]], score: [188], loss:[0.7609615242], sequence:[0], random actions:[288], e:[0.56]
INFO:__main__:episode: 115, state: init state:[[16 18  1]], score: [160], loss:[0.432849137536], sequence:[0], random actions:[278], e:[0.56]
INFO:__main__:episode: 116, state: init state:[[16 35  1]], score: [136], loss:[0.306004551076], sequence:[0], random actions:[271], e:[0.56]
INFO:__main__:episode: 117, state: init state:[[16 52  0]], score: [198], loss:[0.264113799653], sequence:[0], random actions:[284], e:[0.56]
INFO:__main__:episode: 118, state: init state:[[17  9  1]], score: [76], loss:[0.556013989967], sequence:[0], random actions:[270], e:[0.55]
INFO:__main__:episode: 119, state: init state:[[17 26  1]], score: [170], loss:[0.236990140596], sequence:[0], random actions:[293], e:[0.55]
INFO:__main__:episode: 120, state: init state:[[17 43  0]], score: [222], loss:[0.178526510567], sequence:[0], random actions:[271], e:[0.55]
INFO:__main__:episode: 121, state: init state:[[18  0  1]], score: [234], loss:[0.0899050061279], sequence:[0], random actions:[282], e:[0.55]
INFO:__main__:episode: 122, state: init state:[[18 17  1]], score: [212], loss:[0.0764693303329], sequence:[0], random actions:[283], e:[0.54]
INFO:__main__:episode: 123, state: init state:[[18 34  1]], score: [230], loss:[0.0414098129908], sequence:[0], random actions:[265], e:[0.54]
INFO:__main__:episode: 124, state: init state:[[18 51  1]], score: [238], loss:[0.108213659971], sequence:[0], random actions:[276], e:[0.54]
INFO:__main__:episode: 125, state: init state:[[19  8  0]], score: [236], loss:[0.129409171852], sequence:[0], random actions:[252], e:[0.53]
INFO:__main__:episode: 126, state: init state:[[19 25  1]], score: [242], loss:[0.0263311074907], sequence:[0], random actions:[271], e:[0.53]
INFO:__main__:episode: 127, state: init state:[[19 42  1]], score: [264], loss:[0.0247188481476], sequence:[0], random actions:[245], e:[0.53]
INFO:__main__:episode: 128, state: init state:[[19 59  0]], score: [212], loss:[0.0366881858164], sequence:[0], random actions:[273], e:[0.53]
INFO:__main__:episode: 129, state: init state:[[20 16  1]], score: [222], loss:[0.0367436680217], sequence:[0], random actions:[277], e:[0.52]
INFO:__main__:episode: 130, state: init state:[[20 33  0]], score: [264], loss:[0.0148461416059], sequence:[0], random actions:[236], e:[0.52]
INFO:__main__:episode: 131, state: init state:[[20 50  0]], score: [240], loss:[0.0730804541989], sequence:[0], random actions:[265], e:[0.52]
INFO:__main__:episode: 132, state: init state:[[21  7  0]], score: [230], loss:[0.0137122307566], sequence:[0], random actions:[277], e:[0.52]
INFO:__main__:episode: 133, state: init state:[[21 24  1]], score: [224], loss:[0.0191799163002], sequence:[0], random actions:[258], e:[0.51]
INFO:__main__:episode: 134, state: init state:[[21 41  1]], score: [212], loss:[0.0746365697482], sequence:[0], random actions:[265], e:[0.51]
INFO:__main__:episode: 135, state: init state:[[21 58  1]], score: [200], loss:[0.121016702316], sequence:[0], random actions:[282], e:[0.51]
INFO:__main__:episode: 136, state: init state:[[22 15  1]], score: [202], loss:[0.153739622378], sequence:[0], random actions:[256], e:[0.51]
INFO:__main__:episode: 137, state: init state:[[22 32  0]], score: [206], loss:[0.306052330987], sequence:[0], random actions:[241], e:[0.5]
INFO:__main__:episode: 138, state: init state:[[22 49  1]], score: [230], loss:[0.409633408642], sequence:[0], random actions:[248], e:[0.5]
INFO:__main__:episode: 139, state: init state:[[23  6  0]], score: [198], loss:[0.253866838297], sequence:[0], random actions:[256], e:[0.5]
INFO:__main__:episode: 140, state: init state:[[23 23  0]], score: [156], loss:[0.210942841278], sequence:[0], random actions:[247], e:[0.5]
INFO:__main__:episode: 141, state: init state:[[23 40  0]], score: [232], loss:[0.149866880039], sequence:[0], random actions:[233], e:[0.49]
INFO:__main__:episode: 142, state: init state:[[23 57  0]], score: [190], loss:[0.233039164499], sequence:[0], random actions:[245], e:[0.49]
INFO:__main__:episode: 143, state: init state:[[ 0 14  1]], score: [166], loss:[0.247978332747], sequence:[0], random actions:[249], e:[0.49]
INFO:__main__:episode: 144, state: init state:[[ 0 31  1]], score: [216], loss:[0.103202167597], sequence:[0], random actions:[264], e:[0.49]
INFO:__main__:episode: 145, state: init state:[[ 0 48  0]], score: [214], loss:[0.174035528705], sequence:[0], random actions:[254], e:[0.48]
INFO:__main__:episode: 146, state: init state:[[1 5 1]], score: [194], loss:[0.183975587098], sequence:[0], random actions:[240], e:[0.48]
INFO:__main__:episode: 147, state: init state:[[ 1 22  0]], score: [274], loss:[0.11269764439], sequence:[0], random actions:[226], e:[0.48]
INFO:__main__:episode: 148, state: init state:[[ 1 39  0]], score: [222], loss:[0.107767779248], sequence:[0], random actions:[237], e:[0.48]
INFO:__main__:episode: 149, state: init state:[[ 1 56  0]], score: [258], loss:[0.0729303535442], sequence:[0], random actions:[253], e:[0.47]
INFO:__main__:episode: 150, state: init state:[[ 2 13  1]], score: [248], loss:[0.119506212892], sequence:[0], random actions:[252], e:[0.47]
INFO:__main__:episode: 151, state: init state:[[ 2 30  1]], score: [282], loss:[0.0528119367687], sequence:[0], random actions:[232], e:[0.47]
INFO:__main__:episode: 152, state: init state:[[ 2 47  1]], score: [270], loss:[0.043336552818], sequence:[0], random actions:[235], e:[0.47]
INFO:__main__:episode: 153, state: init state:[[3 4 0]], score: [232], loss:[0.236024724087], sequence:[0], random actions:[230], e:[0.46]
INFO:__main__:episode: 154, state: init state:[[ 3 21  0]], score: [248], loss:[0.149124201407], sequence:[0], random actions:[237], e:[0.46]
INFO:__main__:episode: 155, state: init state:[[ 3 38  1]], score: [248], loss:[0.0975878386116], sequence:[0], random actions:[229], e:[0.46]
INFO:__main__:episode: 156, state: init state:[[ 3 55  0]], score: [240], loss:[0.0907510990361], sequence:[0], random actions:[241], e:[0.46]
INFO:__main__:episode: 157, state: init state:[[ 4 12  0]], score: [288], loss:[0.0597629285338], sequence:[0], random actions:[214], e:[0.46]
INFO:__main__:episode: 158, state: init state:[[ 4 29  0]], score: [260], loss:[0.132757457267], sequence:[0], random actions:[225], e:[0.45]
INFO:__main__:episode: 159, state: init state:[[ 4 46  0]], score: [198], loss:[0.244453408217], sequence:[0], random actions:[224], e:[0.45]
INFO:__main__:episode: 160, state: init state:[[5 3 1]], score: [248], loss:[0.110265139689], sequence:[0], random actions:[229], e:[0.45]
INFO:__main__:episode: 161, state: init state:[[ 5 20  0]], score: [266], loss:[0.123197244618], sequence:[0], random actions:[213], e:[0.45]
INFO:__main__:episode: 162, state: init state:[[ 5 37  0]], score: [266], loss:[0.0603844293232], sequence:[0], random actions:[234], e:[0.44]
INFO:__main__:episode: 163, state: init state:[[ 5 54  1]], score: [276], loss:[0.0423214961972], sequence:[0], random actions:[209], e:[0.44]
INFO:__main__:episode: 164, state: init state:[[ 6 11  0]], score: [288], loss:[0.0374173564044], sequence:[0], random actions:[218], e:[0.44]
INFO:__main__:episode: 165, state: init state:[[ 6 28  0]], score: [290], loss:[0.0235481914394], sequence:[0], random actions:[200], e:[0.44]
INFO:__main__:episode: 166, state: init state:[[ 6 45  0]], score: [304], loss:[0.0877281846839], sequence:[0], random actions:[215], e:[0.44]
INFO:__main__:episode: 167, state: init state:[[7 2 0]], score: [296], loss:[0.0131458655401], sequence:[0], random actions:[215], e:[0.43]
INFO:__main__:episode: 168, state: init state:[[ 7 19  1]], score: [292], loss:[0.0325999663904], sequence:[0], random actions:[232], e:[0.43]
INFO:__main__:episode: 169, state: init state:[[ 7 36  0]], score: [294], loss:[0.0102545430627], sequence:[0], random actions:[218], e:[0.43]
INFO:__main__:episode: 170, state: init state:[[ 7 53  1]], score: [276], loss:[0.0284205003545], sequence:[0], random actions:[219], e:[0.43]
INFO:__main__:episode: 171, state: init state:[[ 8 10  1]], score: [326], loss:[0.0900874115134], sequence:[0], random actions:[197], e:[0.42]
INFO:__main__:episode: 172, state: init state:[[ 8 27  0]], score: [284], loss:[0.0257785988966], sequence:[0], random actions:[214], e:[0.42]
INFO:__main__:episode: 173, state: init state:[[ 8 44  1]], score: [294], loss:[0.00804856031682], sequence:[0], random actions:[188], e:[0.42]
INFO:__main__:episode: 174, state: init state:[[9 1 1]], score: [292], loss:[0.0185173485755], sequence:[0], random actions:[199], e:[0.42]
INFO:__main__:episode: 175, state: init state:[[ 9 18  1]], score: [278], loss:[0.0132823769628], sequence:[0], random actions:[221], e:[0.42]
INFO:__main__:episode: 176, state: init state:[[ 9 35  0]], score: [298], loss:[0.0822553906525], sequence:[0], random actions:[213], e:[0.41]
INFO:__main__:episode: 177, state: init state:[[ 9 52  1]], score: [290], loss:[0.318113614923], sequence:[0], random actions:[215], e:[0.41]
