INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=2, random=False, sequential=True)]
INFO:__main__:startTime:[14:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f113d1a9990>], gamma:[0.95]
INFO:__main__:minGameScore:[255], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 38, state: init state:[[18 29  0]], score: [40], loss:[0.00673816061879], sequence:[0], random actions:[252], e:[0.83]
INFO:__main__:episode: 39, state: init state:[[18 46  1]], score: [72], loss:[0.0135243848079], sequence:[0], random actions:[247], e:[0.82]
INFO:__main__:episode: 40, state: init state:[[19  3  1]], score: [60], loss:[0.00881276138126], sequence:[0], random actions:[248], e:[0.82]
INFO:__main__:episode: 41, state: init state:[[19 20  0]], score: [82], loss:[0.298584053246], sequence:[0], random actions:[245], e:[0.81]
INFO:__main__:episode: 42, state: init state:[[19 37  0]], score: [58], loss:[0.991452157992], sequence:[0], random actions:[245], e:[0.81]
INFO:__main__:episode: 43, state: init state:[[19 54  1]], score: [54], loss:[0.571669500695], sequence:[0], random actions:[252], e:[0.81]
INFO:__main__:episode: 44, state: init state:[[20 11  0]], score: [66], loss:[0.101778889685], sequence:[0], random actions:[239], e:[0.8]
INFO:__main__:episode: 45, state: init state:[[20 28  1]], score: [26], loss:[0.0746560213702], sequence:[0], random actions:[250], e:[0.8]
INFO:__main__:episode: 46, state: init state:[[20 45  1]], score: [56], loss:[0.224131875326], sequence:[0], random actions:[253], e:[0.79]
INFO:__main__:episode: 47, state: init state:[[21  2  0]], score: [74], loss:[0.0795905874664], sequence:[0], random actions:[249], e:[0.79]
INFO:__main__:episode: 48, state: init state:[[21 19  1]], score: [38], loss:[0.0383194513181], sequence:[0], random actions:[233], e:[0.79]
INFO:__main__:episode: 49, state: init state:[[21 36  1]], score: [64], loss:[0.0250024906528], sequence:[0], random actions:[234], e:[0.78]
INFO:__main__:episode: 50, state: init state:[[21 53  1]], score: [68], loss:[0.0111697396086], sequence:[0], random actions:[227], e:[0.78]
INFO:__main__:episode: 51, state: init state:[[22 10  1]], score: [56], loss:[0.0278888979675], sequence:[0], random actions:[235], e:[0.77]
INFO:__main__:episode: 52, state: init state:[[22 27  0]], score: [64], loss:[0.0065463911507], sequence:[0], random actions:[246], e:[0.77]
INFO:__main__:episode: 53, state: init state:[[22 44  1]], score: [50], loss:[0.00648437198436], sequence:[0], random actions:[244], e:[0.77]
INFO:__main__:episode: 54, state: init state:[[23  1  1]], score: [48], loss:[0.00332373937393], sequence:[0], random actions:[231], e:[0.76]
INFO:__main__:episode: 55, state: init state:[[23 18  1]], score: [50], loss:[0.00139686638275], sequence:[0], random actions:[243], e:[0.76]
INFO:__main__:episode: 56, state: init state:[[23 35  1]], score: [50], loss:[0.00264938331494], sequence:[0], random actions:[240], e:[0.76]
INFO:__main__:episode: 57, state: init state:[[23 52  0]], score: [74], loss:[0.00175000642488], sequence:[0], random actions:[232], e:[0.75]
INFO:__main__:episode: 58, state: init state:[[0 9 1]], score: [92], loss:[0.0264051391935], sequence:[0], random actions:[217], e:[0.75]
INFO:__main__:episode: 59, state: init state:[[ 0 26  0]], score: [70], loss:[0.00687691829327], sequence:[0], random actions:[224], e:[0.74]
